query_id,acorn_ndcg10,cem_pool_ndcg10,acorn_relevant_at20,cem_pool_relevant_at20
matched_query_001,0.0,0.0,0,0
matched_query_002,0.9305687780632228,0.9337457765456112,13,15
matched_query_003,0.693761356516045,0.826813366651774,7,12
matched_query_004,0.7058075148678529,0.7728378251807521,6,10
matched_query_005,0.3301376494471203,0.6122496142821666,4,8
matched_query_006,0.7702043899253147,0.841492960259019,8,14
matched_query_007,0.0,0.0,1,1
matched_query_008,0.2200917662980802,0.8603818544462509,1,11
matched_query_009,0.1388624438735545,0.5670429581667767,1,7
matched_query_010,0.158507039740981,0.0,2,0
matched_query_011,0.1388624438735545,0.1100458831490401,3,3
matched_query_012,0.6489315753318466,1.0,7,15
matched_query_013,0.4818998405251556,0.6961622681399229,4,11
matched_query_014,0.0,0.2835149363066189,0,6
matched_query_015,0.3836331529183765,0.5933607200949347,3,8
matched_query_016,0.0783982689786753,0.1635413866202963,1,9
matched_query_017,0.0,0.0,0,0
matched_query_018,0.3600558568883673,0.2336508082431053,4,6
matched_query_019,0.4815349905431303,0.713308065210993,6,12
matched_query_020,0.6547216238913565,0.7254521107352793,8,12
matched_query_021,0.2972715964420571,0.41125017975368,3,9
matched_query_022,0.0,0.0,0,0
matched_query_023,0.2465505554475862,0.085143117641621,5,5
matched_query_024,0.5271064966405457,0.5887498202463202,4,8
matched_query_025,0.9363792118010484,0.9148568823583793,9,16
matched_query_026,0.5239294981581574,0.4252084336260238,7,6
matched_query_027,0.857980942822373,0.8643145546088339,11,14
matched_query_028,0.7600791051976192,0.9052116356304496,10,14
matched_query_029,0.7529694065526482,0.823699893396571,9,11
matched_query_030,0.693761356516045,0.9363792118010484,6,12
matched_query_031,0.5736899196572437,0.7600791051976192,9,11
matched_query_032,0.5541432109622959,0.9305687780632228,5,14
matched_query_033,0.6064391805443411,0.7702043899253147,7,11
matched_query_034,0.1100458831490401,0.4568991878452581,2,6
matched_query_035,0.227162174819248,0.0,7,2
matched_query_036,0.3589542101716347,0.0636207881989517,3,3
matched_query_037,0.0,0.085143117641621,0,2
matched_query_038,0.4729327934832576,0.6496872770120412,4,10
matched_query_039,0.0,0.1478294909154526,0,4
matched_query_040,0.0,0.0694312219367772,1,1
matched_query_041,0.5224955967919311,0.8318477135310892,4,12
matched_query_042,0.7885497208855957,1.0,9,17
matched_query_043,0.0,0.1298750116533407,0,5
matched_query_044,0.0,0.1388624438735545,1,2
matched_query_045,0.6785038377365556,0.5572998242663683,9,8
matched_query_046,0.0,0.0,0,0
matched_query_047,0.2863459897524693,0.1369847102983117,2,2
matched_query_048,0.1388624438735545,0.0,1,1
matched_query_049,0.0,0.0,0,3
matched_query_050,0.2200917662980802,0.3301376494471203,1,2
matched_query_051,0.7125523635307983,1.0,7,14
matched_query_052,0.0,0.4815349905431303,0,6
matched_query_053,0.1356854453911663,0.454844221257918,2,5
matched_query_054,0.6015720654566381,0.6117952373568122,5,10
matched_query_055,0.4793821367833118,0.9052116356304496,5,15
matched_query_056,0.2200917662980802,0.3227266260473092,1,7
matched_query_057,0.747935059673333,0.4603586061369989,9,7
matched_query_058,0.3301376494471203,0.6086182388744241,4,9
matched_query_059,0.92663607790064,1.0,10,15
matched_query_060,0.7846170207230131,0.6523706084452718,8,12
matched_query_061,0.6325414799409712,0.8630152897016883,5,13
matched_query_062,0.7125523635307983,0.5734923014668308,10,10
